user_id, tasks, filled, added, ignored
"99","length of leaf","","",""
"99","length of leaf","","",""
"99","length of eyes","middle of right eye,middle of left eye,eye,pupil,corners of eyes,","","middle of right eye,middle of left eye,eye,pupil,corners of eyes,"
"99","length of leaf blade","left side of leaf horizontally,leaf,right side of leaf horizontally,middle leaf blade,petiole,","","left side of leaf horizontally,petiole,right side of leaf horizontally,middle leaf blade,"
"99","length of cell phone","phone,screen,left upper corner of phone,right lower corner of phone,glass,","glass,screen,left upper corner of phone,right lower corner of phone,phone,",""
"98","length of leaf blade","left side of leaf horizontally,","","left side of leaf horizontally,"
"44","length of cell phone S208","top,top ,center,bottom,","top,top ,","bottom,"
"44","length of leaf blade s208","n/a,width,top,center,bottom,","","n/a,bottom,"
"44","length of eyes S208","width,height,side,center,","width,side,",""
"44","length of leaf blade","","",""
"44","length of leaf blade","","",""
"105","length of cell phone","phone,touch screen,","","phone,touch screen,"
"105","length of leaf blade","","",""
"105","length of eyes","far corners of eyes,","far corners of eyes,",""
"105","length of eyes","","",""
"105","length of cell phone","touch screen,","","touch screen,"
"105","length of cell phone","touch screen,","touch screen,",""
"108","Length of cellphone (S212)","top,center,bottom,","top,bottom,",""
"108","Width of leaf blade by (S212)","top,center,bottom,","","bottom,"
"108","Length of boys eyes by (S212)","left eye,right eye,center,","","left eye,right eye,"
"108","Length of leaf blade by (S212)","top,center,bottom,","","bottom,"
"107","length of cell phone by S211","phone,bottom right screen corner,upper left screen corner,screen,white part of phone,","phone,screen,upper left screen corner,bottom right screen corner,white part of phone,",""
"107","width of leaf by s211","right leaf blade,leaf blade,leaf,left leaf blade,petiole,","","right leaf blade,leaf blade,left leaf blade,petiole,"
"107","length of eyes","left eye,eyes,face,right eye,person,","person,face,","left eye,eyes,right eye,"
"107","length of whole leaf","whole leaf,width,leaf,tip of leaf,bottom,","width,tip of leaf,","whole leaf,bottom,"
"106","length of cell phone s210","top left corner,bottom right corner,","","top left corner,bottom right corner,"
"106","length of leaf s210","left side,right side,","left side,right side,",""
"106","length of boys eyes","right eye,left eye ,","","right eye,left eye ,"
"106","length of leaf height s210","bottom of leaf,top of leaf,","bottom of leaf,top of leaf,",""
"106","length of leaf s210","","",""
"100","length of eyes","","",""
"100","length of eyes","","",""
"100","length of leaf blade","","",""
